"","country","data.doses_admin","data.raw_full_vac","data.percent_full_vac","data.date"
"93","Mauritius",1725697,"834104","65.9000356321467",1635120000
"94","Mexico",115185985,"52949966","41.5047983065781",1635120000
"95","Micronesia",75240,"Not Available","Not Available",1635120000
"96","Moldova",1485935,"849435","31.9620399625683",1635120000
"97","Monaco",49980,"23308","59.8193203983164",1635120000
"98","Mongolia",4753554,"2136979","66.2594836174375",1635120000
"99","Montenegro",494462,"238240","38.2938163137701",1635120000
"100","Morocco",45249522,"21116355","57.8978085762717",1635120000
"101","Mozambique",3799385,"1825866","6.0128559420795",1635120000
"102","Namibia",584381,"232548","9.32231723009946",1635120000
"103","Nepal",15211161,"6485923","22.6711480524637",1635120000
"104","Netherlands",23884413,"11731427","67.6831969352992",1635120000
"105","New Zealand",6623500,"2966474","60.3309741712426",1635120000
"106","Nicaragua",1306694,"362357","5.53596958644272",1635120000
"107","Nigeria",8188833,"2760913","1.37383735847605",1635120000
"108","North Macedonia",1566348,"764953","36.7155293192715",1635120000
"109","Norway",7922822,"3721188","69.5822805828685",1635120000
"110","Oman",5271912,"2294880","46.1283710145114",1635120000
"111","Pakistan",100741762,"38596890","17.8222858380306",1635120000
"112","Palau",31592,"Not Available","Not Available",1635120000
"113","Panama",5630863,"2354976","55.457667000515",1635120000
"114","Papua New Guinea",254400,"61221","0.697587051391454",1635120000
"115","Paraguay",5165112,"2199261","31.218944456463",1635120000
"116","Peru",33456913,"14439675","44.4154838445346",1635120000
"117","Philippines",54444161,"25101222","23.2168034487576",1635120000
"118","Poland",38621872,"19830320","52.2250817824209",1635120000
"119","Portugal",16163885,"8827654","85.960614901508",1635120000
"120","Qatar",4811693,"2218292","78.3276666830269",1635120000
"121","Romania",11850881,"5828308","30.1102717509903",1635120000
"122","Russia",100766655,"47905303","33.1814989499287",1635120000
"123","Rwanda",5394793,"1762683","13.9596893945094",1635120000
"124","Saint Lucia",87446,"38023","20.8014661633569",1635120000
"125","St. Vincent and the Grenadines",38030,"14903","13.4760238360054",1635120000
